address,national_phone,lat,lon,rating,google_maps_uri,website,user_rating_count,name,primary_type_display,price_level
"İstinye, Sarıyer Cd. No:37A, 34460 Sarıyer/İstanbul",(0212) 229 29 27,41.1151302,29.051382800000003,4.6,https://maps.google.com/?cid=16916801580276621959,https://www.yemeksepeti.com/restaurant/pv4v/istinye-profiterol,127.0,"Elit Profiterol,istinye",Tatlı,₺
"Yeniköy, Köybaşı Cd. No:158 D:B, 34464 Sarıyer/İstanbul",0533 580 22 55,41.1175521,29.0640924,4.7,https://maps.google.com/?cid=15715616328732293963,https://www.lokantalimu.com/,122.0,Lokanta Limu,Restoran,
"Yeniköy, Köybaşı Cd. No:178, 34464 Sarıyer/İstanbul",(0212) 262 04 05,41.1163889,29.062777800000003,4.5,https://maps.google.com/?cid=14897281776021907201,http://www.yenikoysandalbalik.com.tr/,1204.0,Sandal Balık,Restoran,₺₺
"Yeniköy, Köybaşı Cd. No:164, 34464 Sarıyer/İstanbul",,41.1172723,29.0637615,4.5,https://maps.google.com/?cid=13634736328362881140,http://www.wolkcoffee.com/,183.0,Wolk Coffee,Çay/Kahve,
"Yeniköy, Salihağa Sk. No:25, 34464 Sarıyer/İstanbul",(0212) 299 16 28,41.1178449,29.0610415,4.7,https://maps.google.com/?cid=13726490630241448777,,365.0,Evimiz Osmanlı Mutfağı,Türk Mutfağı,₺₺
"Ferahevler, Cenk Sk. No : 1, 34457 Sarıyer/İstanbul",(0212) 223 49 59,41.129772,29.04905,4.7,https://maps.google.com/?cid=6492448040181799979,,1636.0,Hakim Evi,,
"Yeniköy, Köybaşı Cd. No:2, 34464 Sarıyer/İstanbul",,41.1260249,29.0612912,4.5,https://maps.google.com/?cid=471282792009074502,,1049.0,Kalender Orduevi Boğaztepe Tesisi,Restoran,₺₺
"Tarabya, Haydar Aliyev Cd. No:166, 34457 Sarıyer/İstanbul",(0212) 262 05 44,41.1393637,29.0555173,4.5,https://maps.google.com/?cid=2500264291818947710,,307.0,Filiz Restaurant,Restoran,₺₺
"Cumhuriyet, Yeni İlhan Sk. 13-9, 34457 Sarıyer/İstanbul",,41.144308,29.0339229,4.7,https://maps.google.com/?cid=6868442862746464755,https://gleenlounge.com/,219.0,Gleen Garden Lounge,Restoran,
"Tarabya, Haydar Aliyev Cd. No:96, 34457 Sarıyer/İstanbul",(0212) 223 25 26,41.1472383,29.0509546,4.5,https://maps.google.com/?cid=106353677154663513,http://www.therapiabalik.com/,1150.0,Therapia Boğaz Balık,Restoran,₺₺
"Tarabya, Kireçburnu, Haydar Aliyev Cd. No:44, 34457 Sarıyer/İstanbul",(0212) 262 05 04,41.1490981,29.044712800000003,4.5,https://maps.google.com/?cid=6823473509401496076,http://www.kirecburnubalıkçısı.com/,582.0,Kireçburnu Balıkçısı,Restoran,₺₺
"Tarabya, Haydar Aliyev Cd. İstanbul Vilayetler Evi No:110, 34457 Sarıyer/İstanbul",(0212) 262 69 90,41.146107,29.0526879,4.6,https://maps.google.com/?cid=6690753658327431633,https://vehotelsbogazici.com.tr/,462.0,VE BOĞAZİÇİ,Restoran,₺₺
